,player,ratings
75,Stefan Nolle,778
76,Konrad Juszczyszyn,778
77,Jui An Hsu,778
78,Patrick Gonzales,778
79,Konstantin Stepanov,778
80,Rodney Morris,778
81,Ronald Regli,778
82,Cheng Chieh Liu,777
83,Sandor Tot,777
84,Vilmos Foldes,777
85,Omar Al-Shaheen,777
86,Toru Kuribayashi,776
87,Efren Reyes,776
88,Tomasz Kaplan,776
89,Han Yu,776
90,Phil Burford,776
91,Petri Makkonen,775
92,Edgie Geronimo,774
93,Earl Strickland,774
94,Yukio Akagariyama,773
95,Sebastian Ludwig,773
96,Raymund Faraon,772
97,Casper Matikainen,772
98,Ivar Saris,772
99,Billy Thorpe,772
102,Chieh Yu Chou,769
103,Xiao-Fang Fu,763
104,Ruebelin Amit,762
105,Kelly Fisher,759
106,Chezka Centeno,758
107,Ho-Yun Chen,746
108,Tzu-Chien Wei,745
109,Zhou Doudou,743
110,Wang Wanling,743
111,Bai Ge,743
112,Chichiro Kawahara,742
113,Chia Hua Chen,740
114,Meng Gao,738
115,Jasmin Ouschan,734
116,Allison Fisher,734
117,Xia Yuying,732
118,Shi Tianqi,726
119,Karen Corr,724
120,Miyuki Kuribayashi,715
121,Kristina Tkach,715
122,Bean Hung,712
123,Yuki Hiraguchi,712
124,Yu-Wen Hsieh,706
125,Marharyta Fefilava,705
126,Szu-Ting Kuo,704
127,Line Kjorsvik,680
128,Jennifer Barretta,680
129,Kyoko Sone,677
130,Akimi Kajitani,674
131,Brittany Bryant,674
132,Veronica Ivanovskaia,670
133,Melissa Herndon,670
134,Oliwia Zalewska,669
135,Monica Webb,668
136,Vivien Schade,668
137,Nataliya Seroshtan,666
138,Kristina Grim,665
139,Tamara Peeters-Rademakers,664
140,Samia KONISHI,663
141,Taylor Hansen,660
142,Loree Jon Hasson,659
143,Yu Hsuan FAN,657
144,Eylul Kibaroglu,656
145,Kateryna Polovinchuk,656
146,Jia Li,655
147,Makiko TAKAGI,654
148,Melissa Little,653
149,Ana Gradisnik,653
150,April Larson,651
151,Naomi Williams,651
152,Keiko YUKAWA,648
153,Tina Vogelmann,648
154,Jana Montour,646
155,Melanie Suessenguth,644
156,Mari FUKAWA,643
157,Sara Rocha,641
158,Kristina Zlateva,638
159,Sarah Rousey,635
160,Eleanor Callado,634
161,Jeannie Seaver,634
162,JJ Sackaney,632
163,Louise Furberg,629
164,Ming Ng,629
165,Caroline Pao,629
166,Valeriia Trushevskaia,628
167,Claudia von Rohr,627
168,Molrudee Kasemchaiyanan,627
169,Janet Atwell,626
170,Pia Filler,625
171,Izabela Lacka,625
172,Vania Franco,624
173,Kieren Dempsey,621
174,Dawn Hopkins,620
175,Veronique Menard,618
176,Teruko Cucculelli,617
177,Pam Kelly,616
178,Silvia Lopez,616
179,Hannan Memic,616
180,Hazel Cook,616
181,Christine Feldmann,615
182,Tara Williams,615
183,Ine Helvik,613
184,Veronika Hubrtova,612
185,Melissa Kuys-Rademakers,612
186,Joanne Ashton,611
187,Elise Qiu,611
188,Jenna Bishoff,611
189,Bonnie Plowman,611
190,Ewa Bak,610
191,Tina Larsen,609
192,Liz Cole,609
193,Rhonda Pierce,608
194,Monika Margeta,608
195,Liz Taylor,607
196,Hanna Kwon,606
197,Cathy Metzinger,606
198,Kathie MacDonald,606
199,Maria Juana,606
209,Josh Roberts,770
210,Johnny Archer,768
211,Gary Hall,767
212,Jeremy Seaman,764
213,Scott Frost,760
214,Shane McMinn,759
215,Andy Quinn,757
216,Max Eberle,756
217,Jeremy Sossei,756
218,Chip Compton,754
219,BJ Ussery Jr,754
220,Tyler Styer,754
221,Justin Hall,754
222,Mitch Ellerman,752
223,Donny Mills,752
224,Jesse Engel,751
225,Jeremy Jones,751
226,Tony Chohan,750
227,Shaun Wilkie,749
228,Danny Olson,748
229,Abrin Schaad,748
230,Anthony Meglino,748
231,Joey Gray,747
232,Chris Robinson,744
233,Justin Martin,742
234,Dave Coles Jr,742
235,Brandon Shuff,741
236,Tom D'Alfonso,741
237,Alex Olinger,741
238,Robb Saez,741
239,Reymart Lim,740
240,Tommy Kennedy,739
241,Zion Zvi,738
242,Jonathan Smith,737
243,Scott Tollefson,737
244,Mike Davis Jr,736
245,Dustin Gunia,736
246,Evan Lunda,735
247,Demetrius Jelatis,734
248,Sergio Rivas,734
249,John Gabriel,733
250,Ernesto Dominguez,733
251,Gabe Owen,732
252,Joe Pierce II,731
253,Bobby Emmons,731
254,Jason Williams,730
255,Jeff Boucher,729
256,TJ Steinhaus,729
257,Tom McCluskey,728
258,Brian Parks,727
259,Tony Robles,727
260,Frankie Hernandez,726
261,Suad Kantarevic,726
262,Mark Jarvis,724
263,Hunter Lombardo,724
264,CJ Wiley,724
265,Blake Baker,723
266,Michael Perron Jr,723
267,Jeff Beckley,723
268,Rory Hendrickson,722
269,Chris Mitchell,721
270,Nick Hickerson,721
271,Chris Bruner,721
272,Lee Heuwagen,720
273,Jordan Davis,720
274,Dave Matlock,719
275,Chris Byers,718
276,Josh Brothers,718
277,Gus Briseno,718
278,Junior Jueco,717
279,Tommy Tokoph,717
280,Nathan Wallace,717
281,Eric Aicinena,717
282,Eddie Abraham,717
283,Donny Branson,715
284,Justin Espinosa,715
285,Rob Mattson,715
286,Robert Ray,715
287,Barry Childers,715
288,Julio Burgos,714
289,Jason LaFleur,714
290,Tim Larson,714
291,Nicholas DeLeon,714
292,Brett Stottlemyer,713
293,Devin Poteet,713
294,Brandon Hallett,713
295,Jeremy Fedkenheuer,712
296,Ian Costello,712
297,Deo Alpajora,712
298,James Davis Sr,711
299,Raphael DaBreo,711
